epoch,train_rmse,val_rmse,val_rmse_movavg,n_state_resets,C1_mean,C2_mean,R0_mean,R1_mean,R2_mean,gamma1_mean,M0_mean,M_mean,time_s
1,0.2914066289928234,0.25409023793961927,0.25409023793961927,0,37999.98595651659,37999.991478690616,-0.01200028608679204,0.021309369504002328,0.022919467656490354,100.04311309781866,-0.460415193662987,0.7598726410226072,73.19206070899963
2,0.2327099212214507,0.208300055288874,0.23119514661424662,1,37999.98077175676,37999.991981558145,-0.0011418994114423108,0.02367858840682216,0.018507774971892862,99.9662286590053,-0.45997555180248834,0.8368499509463807,72.94102835655212
3,0.21125964226961125,0.6537065140008421,0.3720322690764451,1,37999.98303274313,37999.992950258755,-0.0009746163354779232,0.02468353345637256,0.01016032331284265,99.96644122915914,-0.46458174234324534,0.8801280490376873,73.02393913269043
4,0.19797321203854723,0.17302051907867153,0.3222793315770017,1,37999.98487665552,37999.97177516362,0.0031935748550231077,0.0180838439273976,0.05055516827085228,99.94448324882067,-0.4700381615593599,0.9019732913590917,73.06760478019714
5,0.1744018573769838,0.16564631573058414,0.2909527284077182,1,37999.986237088335,37999.974450474394,-0.0001907580631212653,0.01695723018561546,0.029916864051906644,99.92408091999968,-0.4740952405861256,0.9262691965796966,72.88993573188782
6,0.15630666129560894,0.14774079774938795,0.2670840732979965,0,37999.98754695957,37999.97670258167,0.0009311380767170046,0.014928085343084542,0.02146769832870139,99.90497265091987,-0.46219131992478707,0.9149190353384992,73.08667421340942
7,0.1394526207852883,0.15400390708699094,0.2509297638392814,0,37999.98822971222,37999.9779847105,0.0020199063425951,0.014017277351924777,0.015329110822160496,99.89859358141953,-0.4757887344439507,0.9416929096940072,73.0098249912262
8,0.1264681458274285,0.13951642717168536,0.23700309675583192,0,37999.98892269711,37999.97933728612,0.01493844526418763,0.015376033182476321,0.01971354365972436,99.90332060367652,-0.4875097804410666,0.9605345814290537,72.87221574783325
9,0.11665668322986615,0.1255013227672559,0.22092948235928647,0,37999.98965765252,37999.980818215234,0.014449912914225708,0.01613112894081055,0.018861911103571525,99.9299400623272,-0.46839410130923004,0.9458924962503232,72.72742104530334
10,0.10783144007840183,0.13151024656957902,0.21133075626937461,0,37999.99020694258,37999.98186537926,0.016518209516888597,0.018548395251712993,0.016160458391069436,99.93657156793938,-0.48180413772646274,0.9660307573356419,73.26471257209778
11,0.10198035614143447,0.12352587586317049,0.14505817650216565,0,37999.9908560344,37999.98294548986,0.023042740434083043,0.015577438837805678,0.02514775110838518,99.9132318009589,-0.48125365666060954,0.9773484563153235,72.73573851585388
12,0.09571733779984197,0.10850386796041238,0.13699359511238327,0,37999.99137902977,37999.984003229,0.01955620649675676,0.02476989974341753,0.022418268126623248,99.9278093994325,-0.4708061110110312,0.9767330949074756,72.81511902809143
13,0.09063251865965889,0.10658275777218996,0.12961065036758398,0,37999.99188511883,37999.98476434437,0.024795356504646548,0.025755478376661624,0.02155723296830391,99.92268199942421,-0.4874018877270912,1.009852311884937,72.70785880088806
14,0.08767242341865779,0.10023055889773459,0.12367187051112732,0,37999.99236355796,37999.98552683283,0.03145400791709248,0.020931983372446467,0.022664334940388386,99.92700992468991,-0.4853700672934823,1.0153996286235385,72.78155732154846
15,0.08144341247560764,0.09775876215730574,0.11664122739491668,0,37999.99275503151,37999.98627445547,0.03081234691829919,0.024652885076187427,0.025521689438590834,99.89528252947889,-0.48147448311706836,1.0146528888471873,72.79011940956116
16,0.07797041031315434,0.08356000179491914,0.1096466742228209,0,37999.993233329995,37999.98719016766,0.03063547971239565,0.020386775479663485,0.02873157755911238,99.89361068942506,-0.471319380329283,1.0045720242212495,72.82784080505371
17,0.07341686616368424,0.08053991665815714,0.10402649845918356,0,37999.99352639125,37999.987793900626,0.03333557405091971,0.028430254513605,0.03291540511301275,99.88043274692112,-0.4794091809926583,1.0277916664915558,72.72476959228516
18,0.07125481427003079,0.07815116309484077,0.09735661302484128,0,37999.99381879221,37999.988402059746,0.035317554798802116,0.03769884065454523,0.023682471054596428,99.87787844811376,-0.4754063799607213,1.0317899668878703,72.78459239006042
19,0.06657497649300599,0.08052810430033337,0.09198189157948664,0,37999.99405006945,37999.98880983559,0.03669179579445974,0.020525752883790927,0.020904370927362134,99.87899536201537,-0.4715018903376327,1.0484142283787217,72.8428385257721
20,0.0631117195152159,0.07627796363585322,0.08795365353891674,0,37999.99414422018,37999.988992312785,0.03769364110842211,0.027176671195384628,0.030792189667575746,99.87421457866286,-0.474864995770115,1.0717303107994671,72.89588499069214
21,0.05931374921152535,0.07062057315056464,0.08345838046121357,0,37999.99435718148,37999.989314749975,0.04509306159359571,0.02288632827103843,0.025434634350451575,99.86354906445163,-0.4725498160590005,1.0752978269658726,75.91326594352722
22,0.05624787984827812,0.05270312603005257,0.07751745135275333,0,37999.994655624825,37999.98986575978,0.04240554313002809,0.02357326708203998,0.023846489574576406,99.86089972753096,-0.4503762859613912,1.0408808520501742,74.42047023773193
23,0.05184314784081487,0.04848413147432187,0.07135812251738033,0,37999.994513812875,37999.9896198784,0.04391209472491094,0.035995597534562364,0.034282720695611515,99.87180734887058,-0.44557344778526925,1.048989431056803,74.43813800811768
24,0.047371964317351155,0.04108078620226637,0.06604822056829873,0,37999.99466887164,37999.9898260872,0.04498216250449708,0.029698364289704612,0.028782481267115977,99.86577415639157,-0.4444280535068614,1.0526916338131855,73.59791660308838
25,0.04312811010673859,0.038271316928519795,0.060764645602094075,0,37999.99476043707,37999.98985474481,0.0450599237606879,0.028417172936780873,0.03010532402891225,99.87210892532826,-0.44677731538155335,1.0608447039770919,72.82468032836914
26,0.040116650872538816,0.034942962256590916,0.055363620497312846,0,37999.99497200459,37999.99015428962,0.04223130161679471,0.025900431698883026,0.030187992356790504,99.88381736205974,-0.43124266481955426,1.038687012253314,73.47110939025879
27,0.03718397727017578,0.03401697404549129,0.04954972921545758,0,37999.99512560094,37999.99038166588,0.04164054351011117,0.026015817988619606,0.028757746147329368,99.87474987903349,-0.4365116503752298,1.0347525680094014,73.0418050289154
28,0.03369068297112879,0.03456223718251176,0.044335263408789904,0,37999.99516007555,37999.9903973007,0.0432394376657185,0.032785909256838705,0.026529023823757478,99.87472152735388,-0.44471544803325924,1.0544149590140188,73.68668556213379
29,0.03141013448889641,0.03052828081860837,0.039323726867295364,0,37999.99531217801,37999.9906628927,0.04360225791532974,0.030699511539216295,0.028322139177340427,99.87939608293465,-0.4314357030163335,1.0289972495383906,73.83154082298279
30,0.029785435396764925,0.02992339093145605,0.0364762599799708,0,37999.99540993126,37999.99082734748,0.0442543232920837,0.03360118910006411,0.024538241083452726,99.87438011648473,-0.4213334056092298,1.0170701044824593,73.70074772834778
31,0.02841547084990567,0.03541256417616927,0.034842314067701725,1,37999.99521280666,37999.99058889398,0.04135936568263326,0.040790622937514225,0.04507304290139534,99.87644856019686,-0.4535180010694288,1.0640454690443506,73.64903903007507
32,0.02720959625228425,0.029484670117155814,0.03339279955706291,0,37999.99545380581,37999.990985043085,0.04216966280159266,0.027323628895169205,0.038294064158105205,99.88112713569225,-0.43129944569477074,1.0184834252398265,74.31751346588135
33,0.025607622682111385,0.02838686200767736,0.032157242691957605,0,37999.99544244548,37999.9909607075,0.04281090683817473,0.04286998776319067,0.040549265688122595,99.88683343659481,-0.44586800346859995,1.032781571029721,73.77597403526306
34,0.02441424154516949,0.027168215703080232,0.03118539937276877,0,37999.99558855168,37999.99118076238,0.040438000668912816,0.03557585786602068,0.03676936038773292,99.8881505779939,-0.44435366071526516,1.0154370329306457,73.69920229911804
35,0.02293782634462471,0.032971780077732576,0.031054750126798928,0,37999.99570069405,37999.99137063412,0.038334761800604265,0.03287383111064489,0.034038053465227466,99.8915101166424,-0.44041376512178,1.0047089311977997,73.30717754364014
36,0.022299133114465367,0.025315664732832036,0.029898928570588963,0,37999.99586254774,37999.99166276999,0.03718617741662331,0.02769246198716983,0.030430583120892783,99.89058062640123,-0.42959335043105157,0.9763466014213563,73.0594367980957
37,0.020831230251387774,0.02575976133966144,0.029302863635720596,0,37999.99587255574,37999.99167291068,0.03910910627037678,0.030806796624303665,0.03496800806985695,99.88579399749098,-0.4386723541829078,0.9786398088016032,77.21862864494324
38,0.020445332981740456,0.032713090193518535,0.029651576043478407,0,37999.99581850564,37999.99144922107,0.03637684703760217,0.02773335366958538,0.047885301777029876,99.88560842679928,-0.4460530122996309,0.9791804522363137,75.71892595291138
39,0.02235742378040466,0.029611079657977102,0.028926390478704385,0,37999.995882382354,37999.99156024322,0.03912448963360538,0.04561522122119872,0.04848115881271454,99.88360868140825,-0.44776834032475593,0.9945004431627203,72.9034252166748
40,0.020666976288525776,0.024721878101917154,0.028331041476799556,0,37999.996042110084,37999.9918557691,0.03803707008896825,0.03911139664197019,0.04307862563467851,99.89376880715095,-0.419616953383371,0.9497933724674542,72.84185004234314
41,0.02000208417563064,0.025024044908495538,0.02791068933940183,0,37999.99596770155,37999.991752898975,0.036719917252929876,0.04420267786798528,0.03747957998061526,99.89337136456241,-0.4397234578564782,0.9724734033916262,72.83602118492126
42,0.01960842578118334,0.023918579038499577,0.027504484756329245,0,37999.996123743236,37999.99204461436,0.03462218479646932,0.03969075524036651,0.03189002732043394,99.89210436521165,-0.4168840079218514,0.9414524817620259,72.80825996398926
43,0.019702269024009064,0.0242123253906147,0.026409552920439512,0,37999.9961166255,37999.99200203222,0.03673226736403049,0.049211700551337965,0.03314670492254999,99.89212754863101,-0.42665784168305854,0.9458787436684292,72.88764476776123
44,0.019408882819597625,0.023192232806310914,0.02614412392962437,0,37999.996159340066,37999.992061864024,0.03904112897047234,0.04519846559893912,0.03540477103426463,99.89424571556481,-0.4275125230612993,0.9394384974482551,72.65182518959045
45,0.01849832444131179,0.023733584584967354,0.02589085183528761,0,37999.99617522547,37999.9920690283,0.03686529389460231,0.04491275060497924,0.03512636917895458,99.89726374938468,-0.4341347232176813,0.9424427685929255,72.82218790054321
46,0.018412875977789542,0.02328349014149196,0.024712151828784286,0,37999.99627207197,37999.992221606444,0.03682910190635507,0.04116629270361913,0.02841409246679021,99.89683854469678,-0.43026237751026447,0.9186421801595269,72.86968874931335
47,0.0188839002026059,0.03383932814970033,0.02524068289024969,0,37999.99622240367,37999.992004505264,0.03948979143159302,0.050272834420096536,0.046981322455489284,99.88617101733713,-0.4580399508681881,0.9450001053062455,72.8331229686737
48,0.019160856723958012,0.022514161034441173,0.02496471825681519,0,37999.996362784215,37999.99225441573,0.038865848453888234,0.04034122218358292,0.035651426016632584,99.89215157765057,-0.4371027663292774,0.918047828134563,72.74355959892273
49,0.018577214754664742,0.02275522549695468,0.024681115830372587,0,37999.99640854596,37999.99229418906,0.03793040551339847,0.052534310556115946,0.024838271375545073,99.89280660821451,-0.4402892236354572,0.91813313445573,73.11026287078857
50,0.018319310101141576,0.02305819295222475,0.024573567569588232,0,37999.9964572061,37999.99244454293,0.03681025424025593,0.04574826473377848,0.0383926833859228,99.88839386263531,-0.4288178213636639,0.9037886638981436,72.85710978507996
51,0.017487063392162595,0.022939118522363158,0.02441441671105679,0,37999.996483202834,37999.99246315964,0.03623517371165375,0.04404020880770698,0.032736679775676264,99.88717426807834,-0.43110371301326283,0.9021551247976682,72.82733368873596
